content,subject
"I would like to order a painting using the abstract acrylic technique, priced at $250, with an estimated delivery time of 7-10 business days. The size will be 24x36 inches.",Painting Order Request - Abstract Acrylic
"Order for one oil painting, price $125, estimated delivery 10 days, size 16x20 inches.","Painting Order Request - Oil Painting, $125, 10 Days, 16x20 inches"
I would like to order a painting using watercolor technique for $75 with estimated delivery in 3 weeks and size 16x20.,Painting Order Request
"I'd like to order a 16x20 inch acrylic painting for $75.00, with estimated delivery in 3 weeks.",Painting Order Request
"Order for a 24x36 inch acrylic painting, priced at $150, with an estimated delivery time of 2 weeks.",Painting Order Request - Acrylic Technique
"I would like to order a painting using the watercolor technique, priced at $200, with an estimated delivery time of 3 weeks and a size of 18x24 inches.",Painting Order Request
"I would like to order a painting using the abstract technique, the size will be 24x36 inches,  the price is $300 and estimated delivery is within 14 days.",Painting Order Request - Abstract Landscape
Order for a 24x36 inch oil painting; Technique: Impressionism; Price: $500; Estimated Delivery: 4 weeks.,Painting Order Request - Oil on Canvas
"I would like to order an oil painting, priced at $250, with an estimated delivery of 10-14 business days, and of size 30x40 inches.",Painting Order Request
"I would like to order a painting using acrylic technique, priced at $275.00, with an estimated delivery time of 3-4 weeks and size 30x40 inches.",Painting Order Request
"Content: I would like to order a custom oil painting. Technique: Impressionism, Price: $350, Estimated Delivery: 2 weeks, Size: 24x36 inches.",Order for Custom Oil Painting - Urgent!
"I would like to order a painting using the oil technique, priced at $150, with an estimated delivery time of 10 days and a size of 24x36 inches.",Painting Order Request
"Technique:Acrylic Painting,Price:$275,Delivery:10 days,Size:36x24",Painting Order
"Your acrylic painting (18x24 inches) will arrive in 5-7 business days, costing $275.",Your Artistic Masterpiece is on its Way!
"I would like to order a painting using the acrylic technique, priced at $150, with an estimated delivery time of 2-3 weeks and a size of 18x24 inches.",Painting Order Request
I would like to order a painting; Technique: Oil; Price: $75; Estimated Delivery Time: 3 Weeks; Size: 16x20 inches.,"Painting Order Request - Oil Painting, $75, Delivery in 3 Weeks, 16x20"
"I'd like to order a watercolor painting, priced at $250, with an estimated delivery of 2 weeks and a size of 16x20 inches.",Painting Order Request
"I would like to order a painting using oil technique, priced at $800, with an estimated delivery time of 3 weeks and a size of 20x24 inches.",Painting Order Request
"I would like to order a painting using acrylic technique, for $200, with an estimated delivery time of 3 weeks, and a size of 18x24 inches.",Painting Order Request
"Subject:Painting Order Request;Content:I would like to order a painting using the oil technique, priced at $250, with an estimated delivery time of 3 weeks and dimensions of 18x24 inches.",Painting Order Request
"I would like to order a custom painting using the acrylic technique, priced at $250.00, with an estimated delivery time of 3 weeks, and a size of 18x24 inches.",Custom Painting Order - Order #1234
"I would like to order a painting using the abstract impressionism technique, priced at $75.00, with an estimated delivery time of 3 weeks, and a size of 16x20 inches.",Painting Order Request - Abstract Impressionism
"I would like to order a painting using the oil technique. The size will be 24x36cm, and the price is 150. Estimated delivery time is 10 days.",Painting Order Request - 1234
"I would like to order a 16x20 inch abstract acrylic painting for $75.00 with estimated delivery in 3 weeks.","Painting Order - Abstract Acrylic, 16x20 inches"
"I'd like to order a painting: Technique-Acrylic, Price-$350, Delivery-4 weeks, Size-20x24","Painting Order Request: Acrylic, $350, 4 weeks, 20x24"
"I would like to order a custom oil painting, priced at $275, with estimated delivery in 3 weeks and a size of 16x20 inches.",Order for Custom Painting
"I would like to order a painting with the following specifications: Technique: oil, Price: $850, Estimated Delivery Time: 1 month, Size: 24x36 inches.",Painting Order Request: Oil Painting
"I would like to order a painting using the oil on canvas technique. The price should be $300, with an estimated delivery time of 2 weeks. The size of the painting should be 24x36 inches.",Painting Order - Oil on Canvas
"I would like to order a painting using the oil technique, priced at $150, with an estimated delivery time of 2 weeks and a size of 24x36 inches.",Painting Order Request
"I'd like to order a watercolor painting; price: $75; delivery: 10 days; size: 12x16 inches.",Painting Order Request
"I would like to order a painting using the acrylic technique, priced at $150, with an estimated delivery time of 2 weeks and a size of 24x36 inches.",Painting Order Request
"Order for an Acrylic painting, $275, delivery in 3 weeks, size 18x24 inches",Painting Order Request
"I would like to order a painting using the oil technique, priced at $250, with an estimated delivery time of 2 weeks and a size of 24x36 inches.",Painting Order Request
"I would like to order a painting using the watercolor technique, priced at $200, with an estimated delivery time of 3 weeks, and a size of 18x24 inches.",Painting Order Request
"Painting Order: I'd like to order an acrylic painting, $250, delivery in 3 weeks, size 16x20",Acrylic Painting Order
"I would like to order a painting using the acrylic on canvas technique, for $200, with an estimated delivery time of 3 weeks and a size of 18x24 inches.",Painting Order Request - Acrylic on Canvas
"Subject: Custom Painting Order - Acrylic Landscape - $350 - Delivery in 4 weeks - 18x24 inches.",Custom Painting Order - Acrylic Landscape
"Order for a Watercolor painting (24x36 inches) - $350, estimated delivery 2 weeks.",Painting Order - Unique ID 1234
"I'd like to order a 20x24 inch acrylic painting, using impasto technique, for $350 with an estimated delivery time of 3 weeks.",Painting Order Request
"I would like to order a painting using the acrylic technique, priced at $125, with an estimated delivery time of 3 weeks, and a size of 20x24 inches.",Painting Order Request
"I would like to order a painting using the oil technique, priced at $75, with an estimated delivery time of 3 weeks and a size of 18x24 inches.",Painting Order Request
"I would like to order a painting using the oil technique, priced at $350, with an estimated delivery time of 2 weeks and a size of 24x36 inches.", Painting Order Request
"Order for a 20x24 inch acrylic painting, priced at $200, estimated delivery in 3 weeks.", Acrylic Painting Order
"I'd like to order a watercolor painting, priced at $150, with an estimated delivery of 2 weeks, size 18x24 inches.", Watercolor Painting Order
"I would like to order a 16x20 inch painting using the oil technique, priced at $175, with an estimated delivery time of 2-3 weeks.", Oil Painting Order
"Order for a 24x36 inch oil painting, priced at $400, estimated delivery in 4 weeks.", Oil Painting Order
"I'd like to order a painting using the acrylic technique, with a price of $250, an estimated delivery time of 3 weeks, and a size of 18x24 inches.", Acrylic Painting Request
"I would like to order a painting using the watercolor technique, priced at $100, with an estimated delivery time of 2 weeks, and a size of 16x20 inches.", Watercolor Painting Order
"Order for a 20x24 inch abstract acrylic painting, priced at $275, with an estimated delivery time of 4 weeks.", Acrylic Painting Request
"I would like to order a 16x20 inch oil painting, priced at $175, with an estimated delivery time of 2 weeks.", Oil Painting Order Request
"Order for a 30x40 inch oil painting, priced at $500, with an estimated delivery time of 3 weeks.", Oil Painting Order
"I would like to order a painting using the acrylic technique, priced at $150, with an estimated delivery time of 2-3 weeks, and a size of 24x36 inches.", Acrylic Painting Order
"I'd like to order a watercolor painting, with a price of $80, an estimated delivery time of 10 days, and a size of 12x16 inches.", Watercolor Painting Order
"Order for a 24x36 inch abstract oil painting, priced at $350, estimated delivery in 4 weeks.", Oil Painting Order Request
"I would like to order a painting using the oil technique, priced at $300, with an estimated delivery time of 3 weeks and a size of 16x20 inches.", Oil Painting Order Request
"Order for a 16x20 inch painting using acrylic technique, priced at $125, estimated delivery in 2 weeks.", Acrylic Painting Order
"I would like to order a custom painting using watercolor technique, with an estimated delivery time of 2-3 weeks and a size of 18x24 inches.", Custom Watercolor Order
"Order for a 12x16 inch painting using oil technique, priced at $200, estimated delivery in 10 days.", Oil Painting Request
"I would like to order a 30x40 inch painting using abstract technique, priced at $400, with an estimated delivery time of 3 weeks.", Abstract Painting Order
"Order for a 24x36 inch oil painting, priced at $500, estimated delivery in 4 weeks.", Oil Painting Order Request
"I would like to order a painting using the acrylic technique, priced at $250, with an estimated delivery time of 3 weeks and a size of 16x20 inches.", Acrylic Painting Request
"I'd like to order a custom oil painting, priced at $300, with an estimated delivery time of 2 weeks and a size of 20x24 inches.", Custom Oil Painting Order
"Order for a 24x36 inch watercolor painting, priced at $350, estimated delivery in 3 weeks.", Watercolor Painting Order
